Date,Site,Section,Quadrat #,NS Transect (ft),EW Transect (Ft),WE
5/19/2018,1,A,3,4,47,3
5/19/2018,1,A,7,32,43,7
5/19/2018,1,A,4,38,42,8
5/19/2018,1,A,5,38,36,14
5/18/2018,1,A,1,4,23,27
5/19/2018,1,A,8,32,23,27
5/19/2018,1,A,6,38,20,30
5/19/2018,1,A,9,32,17,33
5/18/2018,1,A,2,4,1,49
6/8/2018,1,D,1,93,24,76
6/30/2018,1,D,6,76,24,76
6/30/2018,1,D,9,48,24,76
6/8/2018,1,D,3,93,19,81
6/30/2018,1,D,5,76,19,81
6/30/2018,1,D,8,48,19,81
6/8/2018,1,D,2,93,6,94
6/29/2018,1,D,4,76,6,94
6/29/2018,1,D,7,48,6,94
5/18/2018,1,E,2,3,45,105
5/18/2018,1,E,1,3,37,113
5/18/2018,1,E,3,3,29,121
6/29/2018,1,H,2,70,4,196
6/29/2018,1,H,3,70,39,161
6/29/2018,1,H,5,55,39,161
6/29/2018,1,H,8,41,39,161
6/29/2018,1,H,1,70,29,171
6/29/2018,1,H,4,55,29,171
6/29/2018,1,H,7,41,29,171
6/29/2018,1,H,6,55,4,196
6/29/2018,1,H,9,41,4,196
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
