"","X","Date","Site","Section","Quadrat","NS..ft.","WE..ft.from.HTL.","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common.Name","Number.of.individuals","X.1","X.2","X.3"
"1","A1",NA,NA,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"2","A2",NA,NA,"A","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"3","A3","5/19/2018",1,"A","3",4,3,"Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Megalorchestia","californiana","California Beach Hopper",30,NA,NA,NA
"4","A4","5/19/2018",1,"A","4",38,8,"Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Megalorchestia","californiana","California Beach Hopper",1,NA,NA,NA
"5","A5",NA,NA,"A","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"6","A6",NA,NA,"A","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"7","A7",NA,NA,"A","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"8","A8",NA,NA,"A","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"9","A9",NA,NA,"A","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"10","D1",NA,NA,"D","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"11","D2","6/8/2018",1,"D","2",93,94,"Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Hemigrapsus","oregonensis","Yellow Shore Crab",30,NA,NA,NA
"12","D2","6/8/2018",1,"D","2",93,94,"Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Hemigrapsus","oregonensis","Yellow Shore Crab",3,NA,NA,NA
"13","D2","6/8/2018",1,"D","2",93,94,"Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Balanus","glandula","Common Acorn Barnacle",1640,NA,NA,NA
"14","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Bivalvia","Osteroidea","Mytilidae","Mytilus","edulis","Blue Mussel",1,NA,NA,NA
"15","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Bivalvia","Osteroidea","Mytilidae","Mytilus","edulis","Blue Mussel",1,NA,NA,NA
"16","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Bivalvia","Ostreida","Osterida","Magallana","gigas","Pacific Oyster",5,NA,NA,NA
"17","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes","philippinarum","Japanese Littleneck",2,NA,NA,NA
"18","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Gastropoda",NA,"Lottiidae","Tectura",NA,"True Limpets",1,NA,NA,NA
"19","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Gastropoda","Littorinidae","Littorinidae","Littorina","scutulata","Checkered Periwinkle",80,NA,NA,NA
"20","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina",NA,"Periwinkle Snails",1,NA,NA,NA
"21","D2","6/8/2018",1,"D","2",93,94,"Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottioidea","Lottia",NA,"Lottia Limpets",2,NA,NA,NA
"22","D3","6/8/2018",1,"D","3",93,81,"Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Hemigrapsus","oregonensis","Yellow Shore Crab",1,NA,NA,NA
"23","D3","6/8/2018",1,"D","3",93,81,"Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Balanus",NA,"Barnacle",1,NA,NA,NA
"24","D3","6/8/2018",1,"D","3",93,81,"Animalia","Mollusca","Bivalvia","Cardiida","Psammobiidae","Nuttallia","obscurata","Purple Mahogony Clam",24,NA,NA,NA
"25","D3","6/8/2018",1,"D","3",93,81,"Animalia","Mollusca","Bivalvia","Cardiida","Psammobiidae","Nuttallia","obscurata","Purple Mahogony Clam",8,NA,NA,NA
"26","D3","6/8/2018",1,"D","3",93,81,"Animalia","Mollusca","Bivalvia","Osteroidea","Mytilidae","Mytilus","edulis","Blue Mussel",1,NA,NA,NA
"27","D3","6/8/2018",1,"D","3",93,81,"Animalia","Mollusca","Bivalvia","Ostreida","Osterida","Magallana","gigas","Pacific Oyster",1,NA,NA,NA
