Location,Site,Section,Quadrat,WE..ft.from.HTL.,Phylum,Order,Number.of.individuals
A1,1,A,1,27,Annelida,Monostilifera,0
A1,1,A,1,27,Annelida,Phyllodocida,0
A1,1,A,1,27,Arthropoda,Amphipoda,0
A1,1,A,1,27,Arthropoda,Decapoda,0
A1,1,A,1,27,Arthropoda,Sessilia,0
A1,1,A,1,27,Echinodermata,Clypeasteroida,0
A1,1,A,1,27,Mollusca,Cardiida,0
A1,1,A,1,27,Mollusca,Littorinimorpha,0
A1,1,A,1,27,Mollusca,Ostreoida,0
A1,1,A,1,27,Mollusca,Patellogastropoda,0
A1,1,A,1,27,Mollusca,Venerida,0
A2,1,A,2,49,Annelida,Monostilifera,0
A2,1,A,2,49,Annelida,Phyllodocida,0
A2,1,A,2,49,Arthropoda,Amphipoda,0
A2,1,A,2,49,Arthropoda,Decapoda,0
A2,1,A,2,49,Arthropoda,Sessilia,0
A2,1,A,2,49,Echinodermata,Clypeasteroida,0
A2,1,A,2,49,Mollusca,Cardiida,0
A2,1,A,2,49,Mollusca,Littorinimorpha,0
A2,1,A,2,49,Mollusca,Ostreoida,0
A2,1,A,2,49,Mollusca,Patellogastropoda,0
A2,1,A,2,49,Mollusca,Venerida,0
A3,1,A,3,3,Annelida,Monostilifera,0
A3,1,A,3,3,Annelida,Phyllodocida,0
A3,1,A,3,3,Arthropoda,Amphipoda,30
A3,1,A,3,3,Arthropoda,Decapoda,0
A3,1,A,3,3,Arthropoda,Sessilia,0
A3,1,A,3,3,Echinodermata,Clypeasteroida,0
A3,1,A,3,3,Mollusca,Cardiida,0
A3,1,A,3,3,Mollusca,Littorinimorpha,0
A3,1,A,3,3,Mollusca,Ostreoida,0
A3,1,A,3,3,Mollusca,Patellogastropoda,0
A3,1,A,3,3,Mollusca,Venerida,0
A4,1,A,4,8,Annelida,Monostilifera,0
A4,1,A,4,8,Annelida,Phyllodocida,0
A4,1,A,4,8,Arthropoda,Amphipoda,1
A4,1,A,4,8,Arthropoda,Decapoda,0
A4,1,A,4,8,Arthropoda,Sessilia,0
A4,1,A,4,8,Echinodermata,Clypeasteroida,0
A4,1,A,4,8,Mollusca,Cardiida,0
A4,1,A,4,8,Mollusca,Littorinimorpha,0
A4,1,A,4,8,Mollusca,Ostreoida,0
A4,1,A,4,8,Mollusca,Patellogastropoda,0
A4,1,A,4,8,Mollusca,Venerida,0
A5,1,A,5,14,Annelida,Monostilifera,0
A5,1,A,5,14,Annelida,Phyllodocida,0
A5,1,A,5,14,Arthropoda,Amphipoda,0
A5,1,A,5,14,Arthropoda,Decapoda,0
A5,1,A,5,14,Arthropoda,Sessilia,0
A5,1,A,5,14,Echinodermata,Clypeasteroida,0
A5,1,A,5,14,Mollusca,Cardiida,0
A5,1,A,5,14,Mollusca,Littorinimorpha,0
A5,1,A,5,14,Mollusca,Ostreoida,0
A5,1,A,5,14,Mollusca,Patellogastropoda,0
A5,1,A,5,14,Mollusca,Venerida,0
A6,1,A,6,30,Annelida,Monostilifera,0
A6,1,A,6,30,Annelida,Phyllodocida,0
A6,1,A,6,30,Arthropoda,Amphipoda,0
A6,1,A,6,30,Arthropoda,Decapoda,0
A6,1,A,6,30,Arthropoda,Sessilia,0
A6,1,A,6,30,Echinodermata,Clypeasteroida,0
A6,1,A,6,30,Mollusca,Cardiida,0
A6,1,A,6,30,Mollusca,Littorinimorpha,0
A6,1,A,6,30,Mollusca,Ostreoida,0
A6,1,A,6,30,Mollusca,Patellogastropoda,0
A6,1,A,6,30,Mollusca,Venerida,0
A7,1,A,7,7,Annelida,Monostilifera,0
A7,1,A,7,7,Annelida,Phyllodocida,0
A7,1,A,7,7,Arthropoda,Amphipoda,0
A7,1,A,7,7,Arthropoda,Decapoda,0
A7,1,A,7,7,Arthropoda,Sessilia,0
A7,1,A,7,7,Echinodermata,Clypeasteroida,0
A7,1,A,7,7,Mollusca,Cardiida,0
A7,1,A,7,7,Mollusca,Littorinimorpha,0
A7,1,A,7,7,Mollusca,Ostreoida,0
A7,1,A,7,7,Mollusca,Patellogastropoda,0
A7,1,A,7,7,Mollusca,Venerida,0
A8,1,A,8,27,Annelida,Monostilifera,0
A8,1,A,8,27,Annelida,Phyllodocida,0
A8,1,A,8,27,Arthropoda,Amphipoda,0
A8,1,A,8,27,Arthropoda,Decapoda,0
A8,1,A,8,27,Arthropoda,Sessilia,0
A8,1,A,8,27,Echinodermata,Clypeasteroida,0
A8,1,A,8,27,Mollusca,Cardiida,0
A8,1,A,8,27,Mollusca,Littorinimorpha,0
