Date,Time,Site,Habitat Type,Kingdom,Phylum,Class,Order,Family,Genus ,Species,Common Name,Photo ID,Method,#seen,,,,,,,,,,,,,
6/8/18,11:03 AM,1,Edge Habitat,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,"SAM 0342, 0229-0230",Bird Survey,4,,,,,,,,,,,,,
6/8/18,11:31 AM,1,Edge Habitat,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,"SAM 0339, 0337, 0247, 0300-0309,0329 -0332",Bird Survey,1,,ND for where I don't have times.,,,,,,,,,,,
6/8/18,11:28 AM,1,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,American Crow,"SAM 0340, 0338, 0269, 0249, 0243-0245",Bird Survey,2,,,,,,,,,,,,,
6/8/18,11:13 AM,1,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Parulidae,-,-,Wood Warbler,"SAM 0341, 0239",Bird Survey,1,,,,,,,,,,,,,
6/8/18,11:57 AM,1,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,"SAM 0335- 0336, 0282-0284",Bird Survey,1,,,,,,,,,,,,,
6/8/18,12:04 PM,1,Landslide,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,difficilis,Pacific Slope Flycatcher,"SAM 0327-0328, 0319-0323",Bird Survey,1,,,,,,,,,,,,,
6/9/18,11:50 AM,3,Edge Habitat,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,"SAM 0366-0367, 0524",Bird Survey,1,,,,,,,,,,,,,
6/9/18,11:51 AM,3,Edge Habitat,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,vocigerus,Killdeer,"SAM 0368-0371, 0379-0386, 0520-0523",Bird Survey,2,,,,,,,,,,,,,
6/9/18,12:30 PM,3,Forest,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,fasciata,Band-Tailed Pigeon,"SAM 0465-0473, 0506",Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:16 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,pusilla,Wilson's Warbler,SAM 0431-0433,Bird Survey,1,,,,,,,,,,,,,
6/9/18,11:58 AM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,SAM 0392-0393,Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:10 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,"SAM 0414-0422, 0510-0512",Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:14 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,SAM 0425,Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:18 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,"SAM 0436-0445, 0508",Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:31 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,SAM 0475-0477,Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:32 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,SAM 0478-0479,Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:37 PM,S 2->3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,"SAM 0485-0486, 0504-0505",Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:14 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotichia,leucocephalus,White Crowned Sparrow,SAM 0426-0429,Bird Survey,1,,,,,,,,,,,,,
6/9/18,1:24 PM,2,Intertidal,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Great Blue Heron,"SAM 0487-0492, 0499-0503",Bird Survey,1,,,,,,,,,,,,,
6/9/18,12:25 PM,3,Intertidal,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Great Blue Heron,"SAM 0456-0460, 0507,",Bird Survey,1,,,,,,,,,,,,,
6/9/18,11:58 AM,3,Edge Habitat,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,auratus,Northern Flicker,"SAM 0394-0409, 0513-0519",Bird Survey,2,,,,,,,,,,,,,
6/9/18,12:34 PM,S 2->3,Edge Habitat,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,auratus,Northern Flicker,SAM 0480-0484,Bird Survey,1,,,,,,,,,,,,,
6/28/18,8:30 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,American Goldfinch,"SAM 1099-1103, 1182-1183",Bird Survey,1,,,,,,,,,,,,,
6/28/18,8:36 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tree Swallow,SAM 1105-1106,Bird Survey,1,,,,,,,,,,,,,
6/28/18,8:27 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Red Winged Black Bird,"SAM 1092-1098, 1104, 1184",Bird Survey,3,,,,,,,,,,,,,
6/28/18,ND,2,Forest,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,pusilla,Wilson's Warbler,SAM 1079-1080,Bird Survey,1,,,,,,,,,,,,,
6/28/18,8:44 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotichia,leucocephalus,White Crowned Sparrow,SAM 1110-1112,Bird Survey,1,,,,,,,,,,,,,
6/28/18,8:43 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,-,-,Flycatcher,"SAM 1107-1109, 1181",Bird Survey,1,,,,,,,,,,,,,
6/29/18,ND,4,ND,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,No Photo,Bird Survey,1,,,,,,,,,,,,,
6/29/18,ND,4,Edge Habitat,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,vocigerus,Killdeer,No Photo,Bird Survey,2,,,,,,,,,,,,,
6/29/18,7:50 PM,4,Forest,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,American Goldfinch,"SAM 1144-1149, 1178-1179",Bird Survey,1,,,,,,,,,,,,,
6/29/18,ND,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tree Swallow,No Photo,Bird Survey,4,,,,,,,,,,,,,
6/29/18,7:56 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Red Winged Black Bird,"SAM 1150-1166, 1175-1177",Bird Survey,6,,,,,,,,,,,,,
6/29/18,ND,4,ND,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,No Photo,Bird Survey,1,,,,,,,,,,,,,
6/29/18,ND,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotichia,leucocephalus,White Crowned Sparrow,No Photo,Bird Survey,1,,,,,,,,,,,,,
6/29/18,ND,4,ND,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American Robin,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/1/18,2:08 PM,3,Intertidal,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,SAM 1228-1235,Bird Survey,47,,,,,,,,,,,,,
7/1/18,ND,3,Edge Habitat,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,vocigerus,Killdeer,No Photo,Bird Survey,4,,,,,,,,,,,,,
7/1/18,ND,3,ND,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/1/18,ND,3,ND,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,American Crow,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/1/18,1:54 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,SAM 1224-1226,Bird Survey,1,,,,,,,,,,,,,
7/1/18,ND,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,No Photo,Bird Survey,2,,,,,,,,,,,,,
7/1/18,4:46 PM,3,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotichia,leucocephalus,White Crowned Sparrow,SAM 1249,Bird Survey,1,,,,,,,,,,,,,
7/1/18,ND,3,Intertidal,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Great Blue Heron,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/1/18,ND,3,Edge Habitat,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,auratus,Northern Flicker,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/2/18,3:17 PM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,American Goldfinch,"SAM 1273-1276, 1291-1294, IMG 7170-7173",Bird Survey,1,,,,,,,,,,,,,
7/2/18,2:42 PM,4,Forest,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,atricapillus,Black Capped Chickadee,SAM 1250,Bird Survey,1,,,,,,,,,,,,,
7/2/18,3:28 PM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Parulidae,Oreothlypis,celata,Orange Crowned Warbler,"SAM 1281-1283, 1297-1298",Bird Survey,1,,,,,,,,,,,,,
7/2/18,3:14 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,"SAM 1270-1272, 1290",Bird Survey,1,,,,,,,,,,,,,
7/2/18,3:00 PM,4,Forest,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,melodia,Song Sparrow,"SAM 1267, 1289",Bird Survey,9,,,,,,,,,,,,,
7/2/18,3:30 PM,4.5,Forest,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,macalatus,Spotted Towhee,"SAM 1285, 1299",Bird Survey,1,,,,,,,,,,,,,
7/2/18,3:31 PM,4.5,Forest,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,macalatus,Spotted Towhee,"SAM 1286, 1300",Bird Survey,1,,,,,,,,,,,,,
7/2/18,2:44 PM,4,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American Robin,"SAM 1252-1253, 1287",Bird Survey,6,,,,,,,,,,,,,
7/2/18,3:22 PM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American Robin,SAM 1277-1278,Bird Survey,1,,,,,,,,,,,,,
7/2/18,3:26 PM,4.5,Edge Habitat,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,difficilis,Pacific Slope Flycatcher,"SAM 1279-1280, 1295-1296",Bird Survey,3,,,,,,,,,,,,,
7/3/18,7:50 AM,4,ND,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,ND,4.5,ND,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,No Photo,Bird Survey,1,,,,,,,,,,,,,
7/3/18,7:30 AM,4,Edge Habitat,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,-,-,Humming Bird,No Photo,Bird Survey,2,,,,,,,,,,,,,
