Date,Site,Section,Quad #,Kingdom,Phylum,Class,Order,Family,Genus ,Species,Common Name,Photo ID,Method,# Per Quadrat,# Per m^2,% Cover,Pi,ln(pi),Pi*ln(pi),H',Pi^2,SUM Pi^2,D,Species,Count,Rank,,,,,,,,,,Count,Rank
5/18/18,1,E,3,Animalia,Annelida,Nemertea,Monostilifera,Emplectonema,Emplectonema,-,Ribbon Worm,"SAM 9686-9687, IMG_5847",Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,2.05036034,3.15617E-07,0.182868325,5.468415602,Balanus glandula,11868,1,,,,,,,,,,11868,1
6/29/18,1,H,8,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,-,Goddess Worm,"IMG.MOV 6953, IMG 6950-6952",Quadrat Sampling,1,1.195990561,ND,0.001123596,-6.791221463,0.007630586,,1.26247E-06,,,Littorina sp.,576,2,Method,Abundance,Percent Cover,Abundance without B. glandula,Percent Cover With B. glandula,,,,,576,2
5/18/18,1,E,3,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,-,Goddess Worm,"SAM 9681-9685. IMG_5751, 5752, 5838-5844",Quadrat Sampling,1,1.195990561,ND,-,,,,,,,Nuttallia obscurata,351,3,Total Richness,28,6,27,7,,,,,351,3
6/29/18,1,D,4,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,-,-,Polychate Worms,IMG 6980-6990,Quadrat Sampling,4,4.783962245,ND,0.002247191,-6.098074282,0.013703538,,5.04987E-06,,,Hemigrapsus oregonensis,224,4,Total Abundance,13648,8.66,1780,10.46,,,,,224,4
6/29/18,1,H,6,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,-,Sea Nymph,IMG.MOV 6915,Quadrat Sampling,1,1.195990561,ND,0.001123596,-6.791221463,0.007630586,,1.26247E-06,,,Magallana gigas,187,5,Species Evenness,0.196447,0.489648,0.622106,0.454455,,,,,187,5
6/29/18,1,H,8,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,-,Sea Nymph,IMG 6938-6940,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,Mytilus edulis,170,6,H',0.6546,0.877332,2.05036,0.884328,,,,,170,6
6/30/18,1,D,5,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,brandti,Giant Pilling Worm,-,Quadrat Sampling,2,2.391981122,ND,-,,,,,,,Littorina scutulata,80,7,HMAX,3.332205,1.791759,3.295837,1.94591,,,,,80,7
6/30/18,1,D,8,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,brandti,Giant Pilling Worm,"IMG 7028, 7068-7070",Quadrat Sampling,1,1.195990561,ND,0.002247191,-6.098074282,0.013703538,,5.04987E-06,,,Megalorchestia californiana,31,8,Simpson's,1.317043,2.115705,5.468416,3.086616,,,,,31,8
6/30/18,1,D,9,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,brandti,Giant Pilling Worm,IMG.MOV 7088,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,Ruditapes philippinarum,27,9,,,,,,,,,,27,9
5/18/18,1,E,1,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,procera,Little Pileworm Sea Nymph,-,Quadrat Sampling,1,1.195990561,ND,0.000561798,-7.484368643,0.004204701,,3.15617E-07,,,Balanus crenatus,26,10,,,,,,,,,,26,10
5/19/18,1,A,3,Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Megalorchestia,californiana,California Beach Hopper,SAM 9801-9807,Quadrat Sampling,30,35.87971684,ND,0.01741573,-4.050381439,0.070540351,,0.000303308,,,Dendraster excentricus,25,11,,,,,,,,,,25,11
5/19/18,1,A,4,Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Megalorchestia,californiana,California Beach Hopper,"SAM 9839, 9840",Quadrat Sampling,1,1.195990561,ND,-,,,,,,,Lottia sp.,20,12,,,,,,,,,,20,12
6/29/18,1,H,5,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,IMG 6954-6958,Quadrat Sampling,6,7.175943367,ND,-,,,,,,,Neotrypaea californiensis,17,13,,,,,,,,,,17,13
6/29/18,1,D,7,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,IMG 6995-6996,Quadrat Sampling,3,3.587971684,ND,-,,,,,,,Macoma sp.,12,14,,,,,,,,,,12,14
5/18/18,1,E,3,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,SAM 9690-9691,Quadrat Sampling,2,2.391981122,ND,0.009550562,-4.651155299,0.044421146,,9.12132E-05,,,Tectura sp.,9,15,,,,,,,,,,9,15
5/18/18,1,E,2,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,"SAM 9780, 9694-9690",Quadrat Sampling,2,2.391981122,ND,-,,,,,,,Protothaca staminea,5,16,,,,,,,,,,5,16
6/30/18,1,D,8,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,IMG 7026,Quadrat Sampling,2,2.391981122,ND,-,,,,,,,Nereididae SP.,4,17,,,,,,,,,,4,17
6/30/18,1,D,5,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,IMG 7073,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,Nereis brandti,4,18,,,,,,,,,,4,18
6/30/18,1,D,6,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,-,Quadrat Sampling,1,1.195990561,ND,-,,,,,,,Nephtys sp.,2,19,,,,,,,,,,2,19
6/30/18,1,D,9,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,-,Quadrat Sampling,42,50.23160357,ND,-,,,,,,,Nereis sp.,2,20,,,,,,,,,,2,20
6/29/18,1,D,4,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6972-6977,Quadrat Sampling,32,38.27169796,ND,-,,,,,,,Emplectonema sp.,1,21,,,,,,,,,,1,21
5/18/18,1,E,2,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG_5853-5854,Quadrat Sampling,30,35.87971684,ND,-,,,,,,,Nereis procera,1,22,,,,,,,,,,1,22
6/8/18,1,D,2,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6104-6110,Quadrat Sampling,30,35.87971684,ND,-,,,,,,,Balanus sp.,1,23,,,,,,,,,,1,23
6/30/18,1,D,8,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 7027,Quadrat Sampling,28,33.48773571,ND,-,,,,,,,Mactridae SP,1,24,,,,,,,,,,1,24
6/30/18,1,D,5,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 7075,Quadrat Sampling,22,26.31179235,ND,-,,,,,,,Tresus capax,1,25,,,,,,,,,,1,25
6/29/18,1,D,7,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6991-6992,Quadrat Sampling,10,11.95990561,ND,-,,,,,,,Saxidomus gigantea,1,26,,,,,,,,,,1,26
6/29/18,1,H,7,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6929-6931,Quadrat Sampling,5,5.979952806,ND,-,,,,,,,Neverita lewisii,1,27,,,,,,,,,,1,27
6/29/18,1,H,4,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6933-6937,Quadrat Sampling,5,5.979952806,ND,-,,,,,,,Patellogastropoda SP.,1,28,,,,,,,,,,1,28
6/29/18,1,H,2,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,IMG 6922-6927,Quadrat Sampling,4,4.783962245,ND,-,,,Make another column for percent cover,,,,,,,,,,,,,,,,,
5/18/18,1,E,3,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,"SAM_9699, IMG_5848-5849,",Quadrat Sampling,3,3.587971684,ND,0.125842697,-2.072722591,0.260837,,0.015836384,,,,,,,,,,,,,,,,
