Date,Site,Section,Quadrat,NS (ft),WE (ft from HTL),Kingdom,Phylum,Class,Order,Family,Genus ,Species,Common Name,Number of individuals,,,,
5/19/2018,1,A,3,4,3,Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Megalorchestia,californiana,California Beach Hopper,30,,,,
5/19/2018,1,A,4,38,8,Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Megalorchestia,californiana,California Beach Hopper,1,,,,
6/8/2018,1,D,2,93,94,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,30,,,,
6/8/2018,1,D,2,93,94,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,3,,,,
6/8/2018,1,D,2,93,94,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,1640,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,1,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,1,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,5,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,2,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,1,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Gastropoda,Littorinidae,Littorinidae,Littorina,scutulata,Checkered Periwinkle,80,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,1,,,,
6/8/2018,1,D,2,93,94,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottioidea,Lottia,-,Lottia Limpets,2,,,,
6/8/2018,1,D,3,93,81,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,-,Barnacle,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,24,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,8,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,1,,,,
6/8/2018,1,D,3,93,81,Animalia,Mollusca,Gastropoda,Patellogastropoda,-,-,-,Limpet,1,,,,
6/29/2018,1,D,4,76,94,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,-,-,Polychate Worms,4,,,,
6/29/2018,1,D,4,76,94,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,32,,,,
6/29/2018,1,D,4,76,94,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,1850,,,,
6/29/2018,1,D,4,76,94,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,26,,,,
6/29/2018,1,D,4,76,94,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,64,,,,
6/29/2018,1,D,4,76,94,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,54,,,,
6/29/2018,1,D,4,76,94,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca,staminea,Pacific Littleneck Clam,2,,,,
6/29/2018,1,D,4,76,94,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,3,,,,
6/30/2018,1,D,5,76,81,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,brandti,Giant Pilling Worm,2,,,,
6/30/2018,1,D,5,76,81,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,1,,,,
6/30/2018,1,D,5,76,81,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,22,,,,
6/30/2018,1,D,5,76,81,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,1870,,,,
6/30/2018,1,D,5,76,81,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,44,,,,
6/30/2018,1,D,5,76,81,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,18,,,,
6/30/2018,1,D,5,76,81,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,24,,,,
6/30/2018,1,D,5,76,81,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,5,,,,
6/30/2018,1,D,5,76,81,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,110,,,,
6/30/2018,1,D,6,76,76,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,1,,,,
6/30/2018,1,D,6,76,76,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,1970,,,,
6/30/2018,1,D,6,76,76,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,25,,,,
6/30/2018,1,D,6,76,76,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,28,,,,
6/30/2018,1,D,6,76,76,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,1,,,,
6/30/2018,1,D,6,76,76,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,145,,,,
6/30/2018,1,D,6,76,76,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottioidea,Lottia,-,Lottia Limpets,18,,,,
6/29/2018,1,D,7,48,94,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,3,,,,
6/29/2018,1,D,7,48,94,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,10,,,,
6/29/2018,1,D,7,48,94,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,1290,,,,
6/29/2018,1,D,7,48,94,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,22,,,,
6/29/2018,1,D,7,48,94,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,18,,,,
6/29/2018,1,D,7,48,94,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,26,,,,
6/29/2018,1,D,7,48,94,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,philippinarum,Japanese Littleneck,12,,,,
6/29/2018,1,D,7,48,94,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,2,,,,
6/29/2018,1,D,7,48,94,Animalia,Mollusca,Gastropoda,-,Lottiidae,Tectura,-,True Limpets,1,,,,
6/30/2018,1,D,8,48,81,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,brandti,Giant Pilling Worm,1,,,,
6/30/2018,1,D,8,48,81,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,californiensis,Bay Ghost Shrimp,2,,,,
6/30/2018,1,D,8,48,81,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,oregonensis,Yellow Shore Crab,28,,,,
6/30/2018,1,D,8,48,81,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula,Common Acorn Barnacle,1600,,,,
6/30/2018,1,D,8,48,81,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,obscurata,Purple Mahogony Clam,31,,,,
6/30/2018,1,D,8,48,81,Animalia,Mollusca,Bivalvia,Osteroidea,Mytilidae,Mytilus,edulis ,Blue Mussel,16,,,,
6/30/2018,1,D,8,48,81,Animalia,Mollusca,Bivalvia,Ostreida,Osterida,Magallana ,gigas,Pacific Oyster,28,,,,
6/30/2018,1,D,8,48,81,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,-,Periwinkle Snails,170,,,,
